Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity, Sale_Price ,Payment_Method,Salesperson
S00040,CU0680,C0433,03-09-2025,1," $54,485 ",Installment,James Combs
S00041,CU0329,C0017,17-05-2024,1," $27,261 ",Credit,Nicole Martin
S00042,CU1752,C0263,05-06-2023,3," $55,112 ",Installment,Kristen Cummings
S00043,CU1563,C0237,23-05-2024,2," $25,490 ",Installment,Barry Hancock
S00044,CU1454,C0109,08-01-2023,3," $28,885 ",Installment,Jerry Clayton
S00045,CU1943,C0282,07-09-2024,1," $96,873 ",Installment,Michael Kim
S00046,CU0988,C0452,04-06-2023,3," $86,185 ",Cash,Erica Duarte
S00047,CU0027,C0123,04-09-2023,1," $15,743 ",Cash,Lisa Thompson
S00048,CU0218,C0223,05-01-2023,2," $54,597 ",Credit,Ryan Rogers
S00049,CU1891,C0464,24-12-2023,2," $41,595 ",Cash,Manuel Williams
S00050,CU0473,C0430,25-08-2025,1," $43,961 ",Installment,Scott Cooper
S00051,CU0368,C0063,28-05-2023,3," $44,496 ",Installment,Amanda Sparks
S00052,CU0480,C0454,09-01-2023,2," $87,401 ",Installment,Michael Washington
S00053,CU1387,C0252,21-11-2023,3," $82,095 ",Installment,Melvin Pope
S00054,CU0550,C0114,07-12-2022,3," $60,514 ",Credit,Gregory Washington
S00055,CU1705,C0107,27-12-2023,3," $44,282 ",Cash,Timothy Williams
S00056,CU0057,C0189,26-03-2025,1," $36,971 ",Credit,Mr. Mario Hernandez
S00057,CU1003,C0182,24-05-2023,2," $65,085 ",Cash,Amanda James
S00058,CU0487,C0077,03-09-2024,2," $59,717 ",Cash,Amanda Johnson
S00059,CU1471,C0236,06-05-2023,2," $69,040 ",Credit,Kimberly Schroeder
S00060,CU1643,C0273,09-01-2023,2," $47,679 ",Installment,Kevin Gonzalez
S00061,CU0201,C0055,09-01-2023,2," $86,074 ",Cash,Jessica Sandoval
S00062,CU0360,C0018,21-01-2025,2," $32,340 ",Cash,Yolanda Howard
S00063,CU1141,C0301,28-03-2025,3," $63,628 ",Cash,James Adams
S00064,CU1401,C0499,19-04-2025,3," $83,399 ",Credit,Kimberly Carter
S00065,CU0879,C0323,06-04-2025,2," $41,832 ",Installment,Sandra Alvarado
S00066,CU0826,C0113,08-03-2024,3," $47,020 ",Installment,Angela Torres
S00067,CU0691,C0047,22-09-2025,2," $62,601 ",Cash,Austin Johnson
S00068,CU1088,C0338,24-11-2023,1," $46,031 ",Installment,Elizabeth Morrow
S00069,CU1456,C0414,20-09-2025,3," $42,076 ",Credit,David Summers
S00070,CU1431,C0239,09-02-2025,2," $92,096 ",Credit,Jeffrey Salinas
S00071,CU0461,C0464,17-12-2023,3," $46,237 ",Credit,Tim Harris
S00072,CU0585,C0424,16-01-2024,3," $91,637 ",Credit,Bianca Price
S00073,CU1279,C0347,13-07-2023,2," $61,290 ",Credit,Thomas Smith
S00074,CU1528,C0477,14-01-2025,3," $62,849 ",Credit,Isaac Cox
S00075,CU1080,C0060,31-08-2023,2," $96,661 ",Credit,James Wilkins
S00076,CU0824,C0031,16-12-2024,3," $77,833 ",Credit,Steven Morgan
S00077,CU1066,C0154,27-04-2023,2," $16,960 ",Cash,Barbara Cameron
S00078,CU1957,C0281,10-09-2023,1," $59,740 ",Credit,Richard Lin
S00079,CU0336,C0418,11-05-2024,1," $30,580 ",Installment,John Shaffer
S00080,CU0240,C0378,17-03-2025,1," $92,464 ",Cash,Catherine Jackson
S00081,CU0102,C0011,28-04-2023,2," $46,633 ",Cash,Jared Morris
S00082,CU1861,C0056,16-06-2025,3," $65,431 ",Cash,Denise Sanders
S00083,CU1789,C0252,25-10-2023,1," $21,663 ",Credit,Taylor Nguyen
S00084,CU1413,C0202,26-09-2024,3," $45,160 ",Installment,Margaret Mckinney
S00085,CU1996,C0072,18-12-2023,2," $66,693 ",Credit,Joanna Franklin
S00086,CU1555,C0458,16-01-2023,3," $97,628 ",Installment,Jason Hickman
S00087,CU0669,C0001,25-09-2024,2," $34,314 ",Cash,Annette Murray
S00088,CU1776,C0372,06-05-2025,1," $39,334 ",Installment,Sabrina Baxter
S00089,CU0792,C0176,17-10-2024,1," $74,747 ",Credit,Colleen Brooks
S00090,CU0593,C0029,21-10-2024,2," $93,571 ",Credit,Andrew Stephenson
S00091,CU1653,C0221,17-10-2023,1," $31,017 ",Cash,Jasmine Berg
S00092,CU0648,C0268,07-05-2023,3," $24,370 ",Credit,Jocelyn Espinoza DDS
S00093,CU0131,C0336,19-04-2023,3," $17,719 ",Installment,George Clark
S00094,CU1147,C0394,02-03-2023,1," $36,684 ",Installment,Ms. Heather Martinez
S00095,CU1259,C0075,30-06-2024,3," $81,084 ",Cash,Miss Susan Taylor
S00096,CU0993,C0147,04-06-2025,3," $51,776 ",Cash,Christine Gross
S00097,CU0288,C0057,16-12-2023,3," $67,193 ",Credit,Melanie Palmer
S00098,CU1159,C0379,03-03-2025,2," $85,321 ",Credit,Gloria Young
S00099,CU1251,C0328,01-08-2023,3," $21,810 ",Installment,Dr. James Huber DDS
S00100,CU1908,C0462,04-09-2023,3," $24,417 ",Installment,Kristen Rodriguez
S00101,CU0389,C0396,07-05-2023,3," $64,133 ",Installment,Ruben Johnson
S00102,CU1417,C0065,28-02-2024,1," $43,519 ",Cash,Kimberly Allen
S00103,CU1346,C0012,13-02-2023,1," $70,161 ",Installment,John Duran
S00104,CU0657,C0350,26-06-2024,3," $67,055 ",Credit,Jason Perez
S00105,CU1097,C0182,06-10-2025,1," $84,527 ",Credit,Maureen Gutierrez
S00106,CU0933,C0453,23-02-2024,2," $84,365 ",Credit,Jessica Pacheco
S00107,CU0685,C0192,10-08-2025,2," $45,673 ",Installment,James Kidd
S00108,CU0217,C0042,06-08-2024,1," $56,387 ",Cash,Bradley Davila
S00109,CU0454,C0108,13-06-2023,3," $56,305 ",Credit,Bruce Griffith
S00110,CU1214,C0271,13-02-2025,1," $59,501 ",Installment,Sean Arnold
S00111,CU0295,C0370,29-06-2024,3," $91,719 ",Credit,Amber Reyes
S00112,CU0243,C0487,11-01-2025,1," $45,253 ",Installment,Kristina Fox
S00113,CU1227,C0388,25-04-2024,3," $50,982 ",Cash,Laura Williams
S00114,CU0341,C0191,06-06-2025,1," $64,231 ",Credit,Larry Cruz
S00115,CU0012,C0177,25-11-2022,1," $95,356 ",Credit,Christina Jones
S00116,CU0130,C0364,09-10-2024,3," $86,214 ",Credit,Melanie Henry
S00117,CU1620,C0482,14-12-2023,1," $33,098 ",Credit,Brenda Jackson
S00118,CU0581,C0229,31-03-2024,2," $96,006 ",Cash,Julia Reed
S00119,CU1861,C0450,07-10-2025,1," $99,844 ",Credit,Carrie Alexander
S00120,CU0525,C0369,17-04-2025,2," $94,427 ",Cash,Susan Gonzalez
S00121,CU1702,C0081,17-07-2025,2," $76,534 ",Credit,Amanda Owens
S00122,CU0634,C0070,26-08-2024,1," $21,253 ",Installment,Lori Wallace
S00123,CU0587,C0364,05-06-2023,2," $30,091 ",Installment,Jessica Alvarez
S00124,CU0257,C0450,05-07-2024,3," $31,278 ",Credit,Scott Woodard
S00125,CU0191,C0082,09-03-2023,3," $74,121 ",Credit,Sue Nichols
S00126,CU1605,C0127,29-11-2024,1," $28,003 ",Installment,Kylie Huang
S00127,CU1585,C0325,12-11-2023,2," $19,640 ",Cash,Joseph Garcia
S00128,CU1406,C0194,11-06-2025,1," $87,405 ",Installment,Kimberly Watts
S00129,CU1936,C0453,29-03-2025,3," $98,471 ",Credit,Russell Mathews
S00130,CU0907,C0073,14-08-2023,3," $73,368 ",Installment,Lynn Lee
S00131,CU1117,C0489,07-04-2024,3," $88,379 ",Credit,Monique Harrington
S00132,CU1675,C0426,12-01-2023,3," $36,630 ",Credit,Richard Conley
S00133,CU1234,C0481,27-12-2024,2," $84,336 ",Credit,Jennifer Lester
S00134,CU1471,C0053,14-09-2023,3," $57,068 ",Credit,Joshua George MD
S00135,CU1381,C0402,06-04-2024,3," $31,323 ",Cash,Jessica Jones
S00136,CU1777,C0246,07-05-2024,2," $60,421 ",Installment,Jessica Gibson
S00137,CU1460,C0071,02-06-2025,3," $37,738 ",Cash,Dr. William Jones
S00138,CU0123,C0278,30-05-2023,1," $51,154 ",Installment,Sandra Stanley
S00139,CU0586,C0313,14-02-2025,1," $81,500 ",Credit,Stephanie Cummings
S00140,CU0908,C0257,12-07-2025,1," $55,078 ",Installment,Alexis Nixon
S00141,CU1887,C0440,15-05-2025,3," $74,575 ",Credit,Bryan Anderson
S00142,CU1340,C0393,25-03-2023,1," $96,702 ",Cash,Christopher Alvarez
S00143,CU1259,C0418,17-11-2023,1," $47,008 ",Installment,Corey Hernandez
S00144,CU1467,C0493,27-06-2024,1," $67,410 ",Installment,Kevin Flynn
S00145,CU0037,C0251,04-02-2023,2," $17,034 ",Credit,Kristina Johnson
S00146,CU0832,C0363,10-05-2023,2," $49,369 ",Installment,David Chaney
S00147,CU0538,C0008,21-10-2024,2," $77,451 ",Installment,Melissa Thompson
S00148,CU1969,C0485,20-03-2023,1," $68,902 ",Credit,Mrs. Maria Alvarado
S00149,CU1340,C0217,02-12-2024,1," $76,281 ",Credit,Bill Zavala
S00150,CU0605,C0150,27-06-2024,1," $92,641 ",Installment,Robert Underwood
S00151,CU0014,C0045,05-07-2023,3," $85,085 ",Cash,Jocelyn Nunez
S00152,CU0416,C0062,11-10-2023,3," $97,692 ",Cash,Mark Hunt
S00153,CU1143,C0225,10-07-2024,2," $93,063 ",Credit,Sarah Buchanan
S00154,CU0586,C0442,20-04-2024,2," $50,811 ",Installment,Douglas Haynes
S00155,CU0214,C0166,20-05-2025,3," $57,898 ",Cash,Keith Cardenas
S00156,CU0102,C0042,29-02-2024,1," $58,654 ",Cash,Richard Hunter Jr.
S00157,CU1571,C0095,20-11-2024,2," $65,985 ",Cash,Lauren White
S00158,CU0540,C0032,29-04-2023,3," $25,054 ",Installment,Danielle Espinoza
S00159,CU1829,C0083,20-11-2022,3," $82,461 ",Credit,Nicole Hunter
S00160,CU0627,C0141,18-06-2024,2," $98,225 ",Cash,Michele Harris
S00161,CU1729,C0294,20-03-2024,2," $65,502 ",Installment,Jill Jimenez
S00162,CU1775,C0463,17-01-2023,2," $18,968 ",Installment,Megan Montgomery
S00163,CU1102,C0236,17-03-2024,1," $65,456 ",Cash,Carolyn Morton
S00164,CU1496,C0455,20-08-2024,1," $56,207 ",Installment,Colin Myers
S00165,CU0486,C0399,07-07-2025,2," $24,580 ",Installment,Paula Crawford
S00166,CU1440,C0393,29-04-2023,1," $58,355 ",Cash,Russell Pitts
S00167,CU0715,C0025,15-09-2025,2," $43,930 ",Cash,Melissa Choi
S00168,CU0194,C0219,12-03-2025,1," $71,958 ",Installment,Savannah Miller
S00169,CU0781,C0397,24-02-2023,2," $35,901 ",Installment,Gary Hampton
S00170,CU0885,C0128,04-04-2023,1," $92,359 ",Cash,David Webster
S00171,CU0620,C0104,16-07-2024,3," $78,698 ",Credit,Dustin Lee
S00172,CU0182,C0039,01-04-2023,1," $15,656 ",Credit,Susan Harris
S00173,CU0614,C0100,28-07-2025,3," $26,131 ",Credit,John Mcgee
S00174,CU1584,C0038,29-01-2023,3," $89,450 ",Credit,Derek Wolf
S00175,CU1259,C0352,09-06-2025,1," $72,631 ",Credit,Cassandra Salazar
S00176,CU0595,C0089,16-05-2023,2," $58,555 ",Credit,Maria Holmes
S00177,CU1976,C0358,19-03-2024,2," $31,921 ",Installment,Cheyenne Carey
S00178,CU1627,C0243,09-08-2023,3," $92,385 ",Installment,Brian Rocha
S00179,CU1486,C0222,05-03-2025,3," $24,468 ",Cash,Rachel Guerrero
S00180,CU0201,C0311,05-02-2024,3," $97,186 ",Installment,James Watts
S00181,CU0357,C0306,17-08-2025,1," $40,462 ",Installment,Samuel Reynolds
S00182,CU1865,C0265,24-03-2025,1," $29,628 ",Installment,Robert Jackson
S00183,CU0263,C0301,27-07-2023,2," $99,653 ",Credit,George Jenkins
S00184,CU0993,C0147,20-11-2024,3," $22,578 ",Cash,Jose House
S00185,CU0549,C0484,28-10-2024,1," $91,529 ",Installment,Mario Bowers
S00186,CU0361,C0019,03-06-2024,1," $24,362 ",Installment,Kimberly Smith
S00187,CU1192,C0111,27-12-2023,3," $39,246 ",Installment,Jennifer Stevenson
S00188,CU0357,C0165,24-06-2025,1," $37,557 ",Credit,Jennifer Hayden
S00189,CU1221,C0286,10-09-2023,3," $75,212 ",Credit,Joshua Maldonado
S00190,CU1655,C0298,25-06-2025,2," $64,748 ",Cash,John Turner
S00191,CU1545,C0223,22-02-2025,3," $86,966 ",Installment,Mr. Steve Wallace
S00192,CU0377,C0288,23-12-2022,2," $78,737 ",Installment,Mark Hensley
S00193,CU0086,C0196,06-08-2024,3," $49,143 ",Cash,Brian Wright
S00194,CU0319,C0443,06-12-2022,2," $29,860 ",Cash,Scott Sharp
S00195,CU1296,C0099,28-09-2024,2," $54,511 ",Installment,Andrew Todd
S00196,CU1409,C0163,21-10-2024,3," $22,083 ",Cash,Rachel Garcia
S00197,CU0412,C0102,03-08-2024,3," $73,170 ",Credit,Ellen Smith
S00198,CU0280,C0094,28-04-2025,2," $19,753 ",Cash,Charles Crosby
S00199,CU0384,C0120,25-12-2024,2," $80,958 ",Credit,Stephanie Rice
S00200,CU0178,C0302,21-11-2023,3," $82,337 ",Credit,Daniel Murray
S00201,CU1253,C0287,20-10-2023,1," $68,800 ",Cash,Janet Hanson
S00202,CU0096,C0373,21-01-2025,1," $72,923 ",Installment,Angela Davis
S00203,CU0550,C0266,06-10-2023,2," $51,539 ",Cash,Michael Anderson
S00204,CU1956,C0096,19-10-2025,2," $75,440 ",Installment,Jeremiah Benson
S00205,CU0850,C0266,28-05-2025,2," $84,566 ",Cash,Jeffrey Gonzalez
S00206,CU0074,C0232,26-01-2025,1," $95,300 ",Credit,Mr. Bryan Johnson
S00207,CU0421,C0222,28-07-2024,2," $59,323 ",Cash,Jason Harris
S00208,CU0295,C0128,07-09-2023,1," $47,049 ",Installment,Joshua Garrett
S00209,CU0824,C0185,03-06-2023,2," $96,746 ",Credit,Daniel Cooper
S00210,CU1261,C0310,14-12-2024,2," $34,674 ",Installment,Kyle Howard Jr.
S00211,CU0597,C0070,26-05-2025,1," $45,107 ",Installment,James Johnson
S00212,CU0254,C0168,04-10-2024,1," $98,774 ",Installment,Julie Jordan
S00213,CU1962,C0096,28-06-2025,2," $96,114 ",Credit,Laura Gibson
S00214,CU1822,C0265,03-04-2024,1," $82,673 ",Cash,Matthew Schneider
S00215,CU0012,C0123,06-06-2023,3," $61,217 ",Credit,Candace Howard
S00216,CU1506,C0366,20-07-2023,1," $67,455 ",Credit,Kenneth Rodriguez
S00217,CU0468,C0196,27-07-2024,2," $76,737 ",Installment,David Meadows
S00218,CU0065,C0120,29-08-2023,2," $58,952 ",Credit,Michael Bowers
S00219,CU1309,C0298,09-07-2023,3," $41,716 ",Credit,Kyle King
S00220,CU1850,C0032,14-10-2023,1," $52,198 ",Installment,Garrett Hoover
S00221,CU0520,C0304,06-03-2023,3," $32,534 ",Credit,Mr. Alan Edwards
S00222,CU1161,C0465,16-04-2025,1," $50,935 ",Cash,Kim Wilson
S00223,CU0793,C0492,27-10-2025,1," $43,195 ",Cash,Brittany Mcclain
S00224,CU0561,C0028,05-07-2024,2," $85,561 ",Credit,Tracy Lambert
S00225,CU1416,C0434,01-11-2024,3," $65,857 ",Installment,Ashley Dixon
S00226,CU1924,C0414,15-10-2023,3," $90,355 ",Installment,Wesley Sanders
S00227,CU1691,C0190,24-06-2023,2," $57,195 ",Cash,Craig Holland
S00228,CU1585,C0168,06-06-2025,1," $29,997 ",Cash,Andrea White
S00229,CU1309,C0234,25-01-2024,2," $56,022 ",Credit,Michael Mitchell
S00230,CU0547,C0321,03-04-2024,1," $58,160 ",Installment,Richard Walker
S00231,CU0718,C0052,17-03-2025,1," $88,853 ",Cash,Chloe Lopez
S00232,CU0197,C0182,17-10-2023,2," $61,925 ",Installment,Christine Mccarthy
S00233,CU0673,C0410,31-10-2024,2," $35,485 ",Installment,Rhonda Baker
S00234,CU0644,C0486,11-03-2024,2," $46,903 ",Installment,Andrew Frost
S00235,CU0522,C0280,05-04-2025,2," $74,243 ",Cash,Thomas Carey
S00236,CU1467,C0140,26-12-2022,1," $92,987 ",Cash,Rebecca Smith
S00237,CU1782,C0137,22-07-2025,3," $27,852 ",Installment,Andrew Medina
S00238,CU1117,C0227,15-04-2025,1," $45,546 ",Cash,Susan Harrell
S00239,CU0579,C0427,18-03-2024,3," $81,423 ",Installment,Jessica Evans
S00240,CU1261,C0077,26-05-2025,1," $59,198 ",Installment,Patricia Maxwell
S00241,CU0256,C0034,09-07-2024,2," $41,986 ",Credit,Eric Roach
S00242,CU1745,C0333,28-10-2024,2," $56,631 ",Installment,Christine Foley
S00243,CU0251,C0111,27-11-2024,3," $89,056 ",Installment,James Hernandez
S00244,CU1930,C0430,02-11-2022,2," $32,520 ",Credit,Nicole Bishop
S00245,CU0758,C0053,07-11-2023,1," $30,471 ",Cash,Scott Moreno
S00246,CU0681,C0083,29-07-2025,3," $26,373 ",Cash,Claire Wilson
S00247,CU1423,C0462,02-08-2025,3," $81,290 ",Cash,Joshua Bell
S00248,CU0943,C0077,20-01-2025,2," $90,198 ",Cash,Jason Johnston
S00249,CU1098,C0149,30-11-2024,1," $54,758 ",Installment,Cody Williams
S00250,CU1441,C0243,03-02-2024,1," $88,267 ",Installment,Gina Deleon
S00251,CU1924,C0218,21-11-2022,3," $38,229 ",Installment,Mark Martinez
S00252,CU0508,C0257,23-07-2024,2," $57,451 ",Installment,Andrew Taylor
S00253,CU1206,C0409,09-02-2023,3," $75,302 ",Installment,Cindy Reynolds
S00254,CU0387,C0401,10-01-2025,2," $60,181 ",Cash,Paul Waters
S00255,CU0183,C0020,24-08-2025,3," $58,811 ",Installment,Taylor Holt
S00256,CU0740,C0334,28-06-2025,3," $88,589 ",Installment,James Clark
S00257,CU1935,C0305,24-02-2025,2," $18,220 ",Credit,Jessica Martinez
S00258,CU0588,C0185,24-01-2025,2," $34,751 ",Installment,Mr. John Zhang Jr.
S00259,CU0576,C0102,21-09-2025,1," $33,153 ",Installment,Rhonda Martinez
S00260,CU1278,C0180,01-06-2023,1," $78,165 ",Credit,Trevor Garcia
S00261,CU1040,C0240,08-08-2024,2," $87,438 ",Credit,Roy Williams
S00262,CU0076,C0047,01-03-2024,2," $71,217 ",Cash,Andres Valencia
S00263,CU0157,C0212,05-12-2022,3," $17,840 ",Cash,Bryan Robinson
S00264,CU1405,C0165,14-06-2023,3," $64,231 ",Installment,Sue Maldonado
S00265,CU0766,C0186,15-08-2025,2," $95,447 ",Credit,Nicole Bernard
S00266,CU1571,C0248,09-09-2023,2," $79,945 ",Credit,Jessica Watson
S00267,CU1327,C0350,03-06-2025,3," $51,518 ",Installment,Dr. Nicholas Berry Jr.
S00268,CU0614,C0121,11-06-2024,1," $25,276 ",Cash,Lauren Phillips
S00269,CU1642,C0142,09-05-2025,2," $59,562 ",Cash,Kelly Harrison
S00270,CU0831,C0463,12-08-2023,2," $68,405 ",Installment,Patricia Briggs
S00271,CU0389,C0090,31-10-2023,2," $42,933 ",Cash,Ricardo Salazar
S00272,CU0040,C0305,05-04-2023,2," $84,361 ",Installment,Maurice Armstrong
S00273,CU1635,C0178,10-07-2025,1," $40,520 ",Cash,Kari Anderson
S00274,CU1030,C0336,29-02-2024,2," $36,321 ",Installment,James Tate
S00275,CU0229,C0427,28-11-2022,3," $66,971 ",Installment,Katelyn Williams DVM
S00276,CU0608,C0229,31-07-2025,1," $93,860 ",Installment,Andrew Osborne
S00277,CU1215,C0479,14-09-2024,1," $88,240 ",Credit,Tammy Hawkins
S00278,CU1524,C0148,07-07-2024,1," $54,232 ",Credit,Karen Riley
S00279,CU1860,C0162,27-06-2024,3," $93,810 ",Cash,Tony Munoz
S00280,CU1732,C0100,07-07-2024,1," $64,056 ",Cash,Nicholas Turner
S00281,CU1332,C0426,17-09-2025,1," $19,318 ",Credit,Natalie Reyes
S00282,CU1131,C0495,17-11-2022,2," $74,298 ",Credit,Jordan Bell
S00283,CU0756,C0036,19-05-2024,3," $51,591 ",Cash,Alexander Hill
S00284,CU1159,C0172,06-05-2024,3," $96,799 ",Installment,Brandon Gonzalez
S00285,CU1982,C0438,01-05-2024,3," $65,232 ",Installment,April Sandoval
S00286,CU0821,C0258,31-05-2024,1," $28,923 ",Credit,Victoria Martinez
S00287,CU0255,C0029,09-12-2022,1," $29,937 ",Credit,Linda Lawrence
S00288,CU0392,C0028,12-08-2023,2," $82,636 ",Installment,Kelly Howard
S00289,CU1605,C0464,05-09-2025,2," $52,411 ",Cash,Vickie Hernandez
S00290,CU1844,C0483,29-07-2024,3," $73,230 ",Installment,Danny Romero
S00291,CU1550,C0096,04-07-2023,1," $79,064 ",Installment,Connie Ashley
S00292,CU0704,C0238,23-11-2022,2," $61,030 ",Installment,Gina Montgomery
S00293,CU0404,C0240,25-07-2025,3," $60,845 ",Cash,Jerry Duncan
S00294,CU1939,C0359,29-01-2024,1," $76,585 ",Cash,Brad Thomas
S00295,CU1959,C0460,06-08-2023,1," $47,243 ",Installment,Lori Brown
S00296,CU0522,C0450,12-07-2024,2," $98,646 ",Installment,Autumn Howe
S00297,CU1114,C0318,02-06-2024,1," $46,838 ",Credit,Renee Henry
S00298,CU1943,C0467,01-08-2023,2," $96,710 ",Credit,Kathy Phillips
S00299,CU1786,C0141,28-03-2024,3," $54,757 ",Installment,Melissa Leach
S00300,CU0061,C0241,30-11-2022,2," $55,056 ",Credit,Robert Schwartz
S00301,CU0856,C0441,22-09-2024,1," $48,809 ",Credit,Tyler Terry
S00302,CU0867,C0263,30-04-2024,3," $60,478 ",Installment,Stephanie Roberts
S00303,CU1297,C0457,27-06-2025,1," $53,918 ",Installment,Karen Mason
S00304,CU0558,C0119,24-03-2024,2," $89,526 ",Installment,Charles Davis
S00305,CU0743,C0463,07-08-2023,3," $45,527 ",Installment,Steven Evans
S00306,CU0073,C0102,12-05-2024,1," $27,192 ",Cash,Jane Hawkins MD
S00307,CU1493,C0088,24-03-2025,2," $62,432 ",Cash,Jonathan Smith
S00308,CU1948,C0312,02-06-2024,2," $33,981 ",Installment,Mark Rivera
S00309,CU0425,C0327,11-12-2023,2," $85,217 ",Credit,Miss Mary Hester
S00310,CU1982,C0214,27-02-2024,2," $96,150 ",Cash,Amy Weaver
S00311,CU1850,C0340,24-01-2023,2," $68,066 ",Installment,Michael Lee
S00312,CU0421,C0267,03-01-2025,3," $56,331 ",Installment,Sheila Savage
S00313,CU0398,C0167,27-11-2023,1," $90,210 ",Cash,Peter Fisher
S00314,CU0718,C0104,30-06-2024,3," $61,701 ",Credit,Denise Palmer
S00315,CU0248,C0489,05-12-2023,3," $92,271 ",Credit,William Spencer
S00316,CU0808,C0021,07-11-2022,2," $61,022 ",Credit,Katherine Larsen
S00317,CU0372,C0397,03-10-2024,3," $60,360 ",Credit,Marissa Arnold
S00318,CU0569,C0204,05-05-2025,2," $81,314 ",Credit,Susan Barnes
S00319,CU1304,C0266,11-02-2024,1," $31,499 ",Installment,Eric Glenn
S00320,CU0794,C0187,22-05-2025,3," $60,067 ",Installment,Stephen Nichols
S00321,CU1551,C0208,07-07-2024,3," $39,026 ",Cash,Thomas Cole
S00322,CU0484,C0024,02-03-2025,1," $61,354 ",Installment,Kimberly Lopez
S00323,CU1504,C0089,07-06-2024,2," $30,109 ",Credit,Trevor Barron
S00324,CU0137,C0399,06-04-2024,3," $53,256 ",Cash,Heather George
S00325,CU1518,C0462,04-06-2025,3," $19,838 ",Installment,Sarah Hall MD
S00326,CU0355,C0451,11-10-2023,3," $63,464 ",Cash,Kaitlyn Jones
S00327,CU1340,C0034,17-01-2025,3," $20,894 ",Credit,Douglas Thompson
S00328,CU1622,C0287,10-04-2023,3," $85,646 ",Installment,John Pearson
S00329,CU0788,C0348,17-10-2023,3," $57,022 ",Credit,Allison Lewis
S00330,CU0613,C0500,08-08-2023,3," $49,556 ",Cash,Bruce Bradley
S00331,CU1110,C0354,05-06-2024,3," $80,090 ",Cash,Mark Cox
S00332,CU0766,C0448,31-10-2023,2," $28,884 ",Cash,Anthony Lee
S00333,CU1794,C0126,13-11-2024,3," $61,020 ",Cash,Carl Williams
S00334,CU1558,C0150,24-12-2023,3," $77,590 ",Installment,Meghan Waller
